"activitylabel" "subject" "tBodyAcc-mean()-X_mean" "tBodyAcc-mean()-Y_mean" "tBodyAcc-mean()-Z_mean" "tBodyAcc-std()-X_mean" "tBodyAcc-std()-Y_mean" "tBodyAcc-std()-Z_mean" "tGravityAcc-mean()-X_mean" "tGravityAcc-mean()-Y_mean" "tGravityAcc-mean()-Z_mean" "tGravityAcc-std()-X_mean" "tGravityAcc-std()-Y_mean" "tGravityAcc-std()-Z_mean" "tBodyAccJerk-mean()-X_mean" "tBodyAccJerk-mean()-Y_mean" "tBodyAccJerk-mean()-Z_mean" "tBodyAccJerk-std()-X_mean" "tBodyAccJerk-std()-Y_mean" "tBodyAccJerk-std()-Z_mean" "tBodyGyro-mean()-X_mean" "tBodyGyro-mean()-Y_mean" "tBodyGyro-mean()-Z_mean" "tBodyGyro-std()-X_mean" "tBodyGyro-std()-Y_mean" "tBodyGyro-std()-Z_mean" "tBodyGyroJerk-mean()-X_mean" "tBodyGyroJerk-mean()-Y_mean" "tBodyGyroJerk-mean()-Z_mean" "tBodyGyroJerk-std()-X_mean" "tBodyGyroJerk-std()-Y_mean" "tBodyGyroJerk-std()-Z_mean" "tBodyAccMag-mean()_mean" "tBodyAccMag-std()_mean" "tGravityAccMag-mean()_mean" "tGravityAccMag-std()_mean" "tBodyAccJerkMag-mean()_mean" "tBodyAccJerkMag-std()_mean" "tBodyGyroMag-mean()_mean" "tBodyGyroMag-std()_mean" "tBodyGyroJerkMag-mean()_mean" "tBodyGyroJerkMag-std()_mean" "fBodyAcc-mean()-X_mean" "fBodyAcc-mean()-Y_mean" "fBodyAcc-mean()-Z_mean" "fBodyAcc-std()-X_mean" "fBodyAcc-std()-Y_mean" "fBodyAcc-std()-Z_mean" "fBodyAccJerk-mean()-X_mean" "fBodyAccJerk-mean()-Y_mean" "fBodyAccJerk-mean()-Z_mean" "fBodyAccJerk-std()-X_mean" "fBodyAccJerk-std()-Y_mean" "fBodyAccJerk-std()-Z_mean" "fBodyGyro-mean()-X_mean" "fBodyGyro-mean()-Y_mean" "fBodyGyro-mean()-Z_mean" "fBodyGyro-std()-X_mean" "fBodyGyro-std()-Y_mean" "fBodyGyro-std()-Z_mean" "fBodyAccMag-mean()_mean" "fBodyAccMag-std()_mean" "fBodyBodyAccJerkMag-mean()_mean" "fBodyBodyAccJerkMag-std()_mean" "fBodyBodyGyroMag-mean()_mean" "fBodyBodyGyroMag-std()_mean" "fBodyBodyGyroJerkMag-mean()_mean" "fBodyBodyGyroJerkMag-std()_mean" "tBodyAcc-mean()-X_median" "tBodyAcc-mean()-Y_median" "tBodyAcc-mean()-Z_median" "tBodyAcc-std()-X_median" "tBodyAcc-std()-Y_median" "tBodyAcc-std()-Z_median" "tGravityAcc-mean()-X_median" "tGravityAcc-mean()-Y_median" "tGravityAcc-mean()-Z_median" "tGravityAcc-std()-X_median" "tGravityAcc-std()-Y_median" "tGravityAcc-std()-Z_median" "tBodyAccJerk-mean()-X_median" "tBodyAccJerk-mean()-Y_median" "tBodyAccJerk-mean()-Z_median" "tBodyAccJerk-std()-X_median" "tBodyAccJerk-std()-Y_median" "tBodyAccJerk-std()-Z_median" "tBodyGyro-mean()-X_median" "tBodyGyro-mean()-Y_median" "tBodyGyro-mean()-Z_median" "tBodyGyro-std()-X_median" "tBodyGyro-std()-Y_median" "tBodyGyro-std()-Z_median" "tBodyGyroJerk-mean()-X_median" "tBodyGyroJerk-mean()-Y_median" "tBodyGyroJerk-mean()-Z_median" "tBodyGyroJerk-std()-X_median" "tBodyGyroJerk-std()-Y_median" "tBodyGyroJerk-std()-Z_median" "tBodyAccMag-mean()_median" "tBodyAccMag-std()_median" "tGravityAccMag-mean()_median" "tGravityAccMag-std()_median" "tBodyAccJerkMag-mean()_median" "tBodyAccJerkMag-std()_median" "tBodyGyroMag-mean()_median" "tBodyGyroMag-std()_median" "tBodyGyroJerkMag-mean()_median" "tBodyGyroJerkMag-std()_median" "fBodyAcc-mean()-X_median" "fBodyAcc-mean()-Y_median" "fBodyAcc-mean()-Z_median" "fBodyAcc-std()-X_median" "fBodyAcc-std()-Y_median" "fBodyAcc-std()-Z_median" "fBodyAccJerk-mean()-X_median" "fBodyAccJerk-mean()-Y_median" "fBodyAccJerk-mean()-Z_median" "fBodyAccJerk-std()-X_median" "fBodyAccJerk-std()-Y_median" "fBodyAccJerk-std()-Z_median" "fBodyGyro-mean()-X_median" "fBodyGyro-mean()-Y_median" "fBodyGyro-mean()-Z_median" "fBodyGyro-std()-X_median" "fBodyGyro-std()-Y_median" "fBodyGyro-std()-Z_median" "fBodyAccMag-mean()_median" "fBodyAccMag-std()_median" "fBodyBodyAccJerkMag-mean()_median" "fBodyBodyAccJerkMag-std()_median" "fBodyBodyGyroMag-mean()_median" "fBodyBodyGyroMag-std()_median" "fBodyBodyGyroJerkMag-mean()_median" "fBodyBodyGyroJerkMag-std()_median"
"WALKING" 1 0.277330758736842 -0.0173838185273684 -0.111148103547368 -0.283740258842105 0.114461336747368 -0.260027902210526 0.935223201473684 -0.282165021263158 -0.068102864 -0.976609642526316 -0.971305961473684 -0.947717226105263 0.0740416333157895 0.0282721095884211 -0.00416840617789474 -0.113615602435789 0.0670025007684211 -0.502699788526316 -0.041830963526 -0.0695300462115789 0.0849448173042105 -0.473535485894737 -0.0546077686594737 -0.344266629473684 -0.0899975423705263 -0.0398428709463158 -0.0461309295021053 -0.207421854757895 -0.304468510631579 -0.404255452631579 -0.136971176556842 -0.219688645631579 -0.136971176556842 -0.219688645631579 -0.141428809031579 -0.0744717500625263 -0.160979552536842 -0.186978364526316 -0.298703679084211 -0.325324878894737 -0.202794306326316 0.0897127264021053 -0.331560117789474 -0.319134719578947 0.056040006846 -0.279686751494737 -0.170546964549579 -0.0352255241130632 -0.468999224631579 -0.133586606326316 0.106739857136 -0.534713440421053 -0.339032197115789 -0.103059416434737 -0.255940940315789 -0.516691938736842 -0.0335081597884211 -0.436562227473684 -0.128623450629474 -0.398032586842105 -0.0571194000343158 -0.103492403002105 -0.199252568986316 -0.321017953894737 -0.319308593778947 -0.381601911789474 0.28111697 -0.018079718 -0.11667518 -0.28354284 0.12280051 -0.26290057 0.93547823 -0.29215241 -0.07477011 -0.98081539 -0.97813557 -0.9604447 0.10305991 0.03298224 -0.018248447 -0.12475952 0.064997322 -0.50771295 -0.031907167 -0.088300488 0.095624123 -0.48169764 -0.061530134 -0.34813109 -0.095098173 -0.068501754 -0.059599967 -0.20600776 -0.31751946 -0.40483479 -0.12980293 -0.22709309 -0.12980293 -0.22709309 -0.14261311 -0.089638008 -0.16295412 -0.19787858 -0.2998284 -0.34550214 -0.20305522 0.096949071 -0.33885732 -0.33322517 0.057523212 -0.29008541 -0.18643004 -0.033930655 -0.47693821 -0.14292773 0.088189609 -0.53872232 -0.34464097 -0.11043286 -0.26451336 -0.52210762 -0.038552002 -0.43832158 -0.1417754 -0.39838608 -0.070366165 -0.10569655 -0.21629882 -0.32016764 -0.33749876 -0.39731236
"WALKING" 2 0.276426586440678 -0.0185949199145763 -0.105500357966102 -0.423642838474576 -0.0780912533118644 -0.425257524915254 0.91301733338983 -0.34660709 0.0847270871186441 -0.972693201355932 -0.972116879661017 -0.972072847627119 0.0618080696279661 0.0182492679288136 0.00789533706610169 -0.277530462620339 -0.0166022362847458 -0.586090418983051 -0.0530258157347458 -0.0482382316949153 0.0828336633220339 -0.561550255762712 -0.53845366779661 -0.481085535084746 -0.0818833429152542 -0.0538299449067797 -0.0514939156830508 -0.389549831525424 -0.634140436101695 -0.435492677288136 -0.290407593728814 -0.422544169322034 -0.290407593728814 -0.422544169322034 -0.281424153881356 -0.164150985127119 -0.446549092881356 -0.553019916271186 -0.547911950338983 -0.557798151355932 -0.346048161016949 -0.0219048103322034 -0.453806369830508 -0.457651383728814 -0.16921968620339 -0.455222146440678 -0.304615322881356 -0.0787640836610169 -0.554956709661017 -0.31431306340678 -0.0153329520084746 -0.615898188474576 -0.429713536101695 -0.55477211220339 -0.396659907457627 -0.604053019152542 -0.533046952542373 -0.559856635084746 -0.324289427932203 -0.577105211694915 -0.169064352813559 -0.164091969449153 -0.530704814745763 -0.651792839661017 -0.583249293389831 -0.558104554745763 0.26780915 -0.016486852 -0.11018469 -0.42055075 -0.086491221 -0.42346766 0.91330906 -0.34693153 0.034632273 -0.97256191 -0.97871306 -0.97486463 0.059344519 0.0097203334 -0.0050209134 -0.28269406 -0.053523732 -0.58397619 -0.029189189 -0.07647036 0.087446841 -0.56562245 -0.54368081 -0.47679889 -0.0957022 -0.061178372 -0.066830094 -0.41089026 -0.64991204 -0.45322615 -0.29734115 -0.43464859 -0.29734115 -0.43464859 -0.29130408 -0.19050464 -0.46148716 -0.55519019 -0.55917481 -0.57280162 -0.34399497 -0.045398525 -0.44731974 -0.45953921 -0.18347264 -0.45550086 -0.31427742 -0.12871068 -0.55297127 -0.32155429 -0.039715066 -0.63312888 -0.44205759 -0.56922657 -0.40089762 -0.60925054 -0.53195591 -0.55856228 -0.34426555 -0.58075003 -0.18219044 -0.18479748 -0.55686219 -0.65063217 -0.62223748 -0.54750107
"WALKING" 3 0.275567462068966 -0.0171767844203448 -0.112674859827586 -0.360356726034483 -0.0699140652103448 -0.387411994310345 0.936506743275862 -0.261986357931034 -0.138107866258621 -0.97777159137931 -0.962355639482759 -0.952091795 0.0814745882660345 0.0100591485 -0.00562264594827586 -0.26867964387931 -0.0449619594258621 -0.52948611637931 -0.0256405192517241 -0.0779150937413793 0.0813485942827586 -0.571869560172414 -0.563793260172414 -0.476696411551724 -0.0952398165017241 -0.0387874651724138 -0.0503616100815517 -0.385922986034483 -0.639087984137931 -0.536664080344828 -0.254690333275862 -0.328428936551724 -0.254690333275862 -0.328428936551724 -0.280009317413793 -0.139916355325862 -0.466411754137931 -0.561510683275862 -0.566135217931034 -0.567371560862069 -0.316614011689655 -0.0813024353275862 -0.412374074482759 -0.379276781206897 -0.124030832001724 -0.422998473965517 -0.304694442551724 -0.140508590224138 -0.514137255344828 -0.296596633103448 -0.00561498755362069 -0.543529108103448 -0.437845763793103 -0.561526265344828 -0.418126217413793 -0.615121369827586 -0.568888673448276 -0.545896388103448 -0.290031535172414 -0.456373080862069 -0.186764516965517 -0.0898519904044828 -0.569755772241379 -0.632643292931034 -0.607751646034483 -0.549087007931034 0.26922953 -0.0188662285 -0.113606905 -0.347835855 -0.070385767 -0.38059687 0.93789308 -0.261121995 -0.13466186 -0.983375235 -0.96460954 -0.959090215 0.11274584 0.017358899 0.0233504115 -0.25453951 -0.037732052 -0.52738895 -0.0337567215 -0.0676504925 0.081140042 -0.578268575 -0.56976569 -0.47570324 -0.084683362 -0.039509761 -0.0290304705 -0.37953087 -0.65168632 -0.53714431 -0.241401095 -0.326903185 -0.241401095 -0.326903185 -0.262496055 -0.11963222 -0.46511421 -0.5738794 -0.55761694 -0.57020111 -0.286815885 -0.0900173045 -0.419631305 -0.363199765 -0.12777244 -0.42080677 -0.27889315 -0.140821745 -0.51308187 -0.293467015 0.0055319058 -0.54080326 -0.44631461 -0.55917281 -0.41802583 -0.625124065 -0.574819865 -0.54016786 -0.295596675 -0.459039465 -0.16057967 -0.0799284305 -0.577782345 -0.637780655 -0.61443305 -0.55354593
"WALKING" 4 0.278582015166667 -0.0148399475341667 -0.11140306485 -0.440829971333333 -0.0788267367683333 -0.586252806833333 0.963999696833333 -0.0858540265666667 0.127764112666667 -0.983826494833333 -0.967963221 -0.962968112 0.0783529082183333 0.00295602428666667 -0.000767679338333334 -0.297042612533333 -0.221165131581667 -0.7513913825 -0.0317982557795 -0.0726905278583333 0.0805677161216667 -0.500916659 -0.665394092833333 -0.662608226 -0.115321556475 -0.0393474489133333 -0.0551166852766667 -0.492341066833333 -0.807419937 -0.640454132833333 -0.312050574166667 -0.527679103166667 -0.312050574166667 -0.527679103166667 -0.366700879833333 -0.316918956 -0.49779220106 -0.553116111166667 -0.6813040365 -0.7301463685 -0.426719449666667 -0.14939963344 -0.631005470833333 -0.447234929666667 -0.101799450565167 -0.594198325666667 -0.358883413666667 -0.279553391533333 -0.728991595666667 -0.29732607245 -0.2099000063 -0.772359087333333 -0.373384540666667 -0.688460056666667 -0.601381129166667 -0.542646759 -0.654657770166667 -0.716458475166667 -0.450804558333333 -0.651172628166667 -0.318587811 -0.320458701 -0.609285588016667 -0.593937200833333 -0.724327420666667 -0.757768081166667 0.27344678 -0.0163644595 -0.10974587 -0.442772485 -0.0635923515 -0.589490635 0.963890165 -0.1023246 0.13247151 -0.984967655 -0.976131225 -0.96490462 0.077364492 0.0059477881 0.00175695585 -0.308853335 -0.225491 -0.74825404 -0.032059979 -0.075027321 0.0882945225 -0.51328167 -0.66403697 -0.668151165 -0.109277235 -0.0493288965 -0.0558087225 -0.494853945 -0.811047895 -0.65582339 -0.31678569 -0.534521645 -0.31678569 -0.534521645 -0.375854535 -0.31462268 -0.50617849 -0.57192516 -0.683618315 -0.732455825 -0.42825717 -0.15244131 -0.633244175 -0.44182431 -0.0837954265 -0.59266547 -0.359978065 -0.284250985 -0.72708244 -0.29455595 -0.21483958 -0.775972585 -0.38235693 -0.692337665 -0.613636875 -0.55812762 -0.65104148 -0.721336465 -0.458375135 -0.66049743 -0.32427284 -0.322890705 -0.623317175 -0.615969745 -0.722746865 -0.76732768
"WALKING" 5 0.27784234625 -0.0172850317482679 -0.107741776464286 -0.294098534232143 0.0767484028053571 -0.45702143625 0.972624959821429 -0.100440285303571 0.00247623628392857 -0.979348381428571 -0.961585474821429 -0.964580803928571 0.0845888833571429 -0.0163194101232143 8.32159351785732e-05 -0.302891024625 -0.0910397428607143 -0.612895318571429 -0.0488919896632143 -0.0690135249642857 0.0815435495892857 -0.490877497857143 -0.504622029821429 -0.318700615178571 -0.0888408355267857 -0.0449559531089286 -0.0482679596035714 -0.357681403285714 -0.57143812375 -0.157682543983929 -0.158338674394643 -0.377178733392857 -0.158338674394643 -0.377178733392857 -0.288333024071429 -0.282242276785714 -0.355933083571429 -0.492176823571429 -0.444532485357143 -0.48919974625 -0.287782607410714 0.00946037755178572 -0.490251090714286 -0.297517355196429 0.0426026830839286 -0.483059957321429 -0.344954806428571 -0.181055554206071 -0.590496615535714 -0.3213903195 -0.0545213604089286 -0.633429995714286 -0.372668749642857 -0.513951718392857 -0.213127031035714 -0.529392790178571 -0.502683380535714 -0.420367075178571 -0.304992488892857 -0.519636926071429 -0.269481661080357 -0.305685376071429 -0.484262828928571 -0.589741506785714 -0.548053574821429 -0.455665300892857 0.276520065 -0.012560005 -0.10958637 -0.32583643 0.0675479345 -0.454505365 0.973330855 -0.0928639 -0.0100622391 -0.98101353 -0.977592845 -0.97260996 0.050351064 -0.0497467735 -0.0060500944 -0.31776572 -0.0842238305 -0.636542885 -0.0287749745 -0.07200525 0.0866040285 -0.506781995 -0.50504435 -0.318599205 -0.09626734 -0.068243105 -0.032106698 -0.397521505 -0.563595165 -0.169135105 -0.18301587 -0.39230196 -0.18301587 -0.39230196 -0.291685695 -0.2691428 -0.375464235 -0.482197225 -0.449588045 -0.485890725 -0.27957593 0.0055944488 -0.52298066 -0.3316442 0.038243427 -0.486247455 -0.348750465 -0.19227777 -0.61354409 -0.342827885 -0.034589758 -0.65614235 -0.389236425 -0.501259265 -0.231756555 -0.53722462 -0.506343765 -0.433057995 -0.31407827 -0.526415685 -0.270740705 -0.295438735 -0.482855035 -0.593218995 -0.55250406 -0.44702394
"WALKING" 6 0.283658868070175 -0.0168954189082456 -0.110303165877193 -0.296538717368421 0.164213884996491 -0.504324207192982 0.958067455087719 -0.214694852280702 0.0331888826842105 -0.977779896491228 -0.964248568070175 -0.957205025789474 0.0699585876912281 -0.0164831715964912 -0.00738931200701754 -0.132784766936842 0.00808897373684211 -0.575777466491228 -0.025509618645614 -0.0744462466 0.0838808799280702 -0.446020952631579 -0.331702267894737 -0.383139334736842 -0.0878891090105263 -0.0362308971842105 -0.0539597284210526 -0.18260093354386 -0.416390246140351 -0.166684422233333 -0.166840713631579 -0.266734167368421 -0.166840713631579 -0.266734167368421 -0.195117026052632 -0.0706029648421053 -0.281207841122807 -0.36560291677193 -0.321290483140351 -0.364708342315789 -0.187934323140351 0.140781621991228 -0.498520164385965 -0.34522769 0.101699642168947 -0.550474621754386 -0.150942917824561 -0.0753742321614035 -0.541438616140351 -0.19269469414386 0.0314450678263158 -0.608624354210526 -0.239650710533333 -0.341378429473684 -0.203575458733333 -0.515323854385965 -0.332008706842105 -0.512209233508772 -0.201386607649123 -0.421683093508772 -0.055401423331579 -0.0964999702982456 -0.329681123368421 -0.510648322631579 -0.366500534122807 -0.408078906482456 0.29068479 -0.01510003 -0.11267181 -0.2871903 0.14624983 -0.50979033 0.95854219 -0.21384646 0.031286341 -0.98047163 -0.97138653 -0.96805355 0.08754202 -0.035631226 -0.0035947765 -0.15369318 -0.0032842261 -0.65336659 -0.026004598 -0.072367992 0.086924633 -0.4565896 -0.33805272 -0.37691246 -0.057510122 -0.034450653 -0.02326547 -0.246881 -0.46971316 -0.21344077 -0.15775836 -0.27758412 -0.15775836 -0.27758412 -0.18685876 -0.067679073 -0.28153444 -0.36570938 -0.39525753 -0.41089171 -0.1841874 0.13478925 -0.51598652 -0.32880395 0.082773808 -0.56257779 -0.17171867 -0.081526017 -0.60339307 -0.19005452 0.014565193 -0.68452946 -0.2231006 -0.33962634 -0.23738207 -0.52594004 -0.33155111 -0.4894581 -0.19289233 -0.4157176 -0.064556433 -0.077364805 -0.38624169 -0.5167357 -0.39760726 -0.47115473
"WALKING" 7 0.275592961754386 -0.018653665345614 -0.110912234947368 -0.327243240701754 -0.0772618561052631 0.159631283261403 0.932566472280702 -0.159097003684211 -0.160846924029807 -0.979851271403509 -0.969404155087719 -0.952159770526316 0.0901462649192983 0.0184322723280702 -0.0210398551649123 -0.346026226140351 -0.0547448948245614 -0.149488514397895 0.00228835208526316 -0.0837113724842105 0.0641104602035088 -0.503313517017544 -0.23109830545614 -0.396013535263158 -0.123654199751333 -0.0447766029745614 -0.0495713093294737 -0.21166729682807 -0.174136410738596 -0.458302971403509 -0.0978090439438596 -0.198554708385965 -0.0978090439438596 -0.198554708385965 -0.192948900438596 -0.027557329277193 -0.305959351403509 -0.19828316695614 -0.300022779964912 -0.0953401161070176 -0.343048405789474 -0.0641564202736842 0.0385832252345614 -0.322034908070175 -0.143721823263158 0.133316828089298 -0.383715797719298 -0.123192887383684 -0.106490372892632 -0.365314790947368 -0.0431917460807018 -0.190751539207018 -0.318395104666667 -0.151966687436842 -0.366733617894737 -0.563615256666667 -0.290859379017544 -0.463270018245614 -0.151243649578947 -0.351706780526316 -0.0384187298547368 -0.022138358 -0.192909765467895 -0.343894914947368 -0.155339855862632 -0.0841663774087719 0.27832449 -0.017606195 -0.10986689 -0.33741629 -0.11115547 0.14363687 0.92670486 -0.14838801 -0.27603183 -0.98047213 -0.97544777 -0.95607228 0.10377255 -0.0085559253 -0.093682416 -0.34565111 -0.052246057 -0.13403073 -0.028888597 -0.074192132 0.076953945 -0.4849824 -0.23694482 -0.39668336 -0.11761508 -0.047889492 -0.043473054 -0.24548079 -0.15945343 -0.51012528 -0.06904544 -0.19281985 -0.06904544 -0.19281985 -0.19187444 -0.027699748 -0.27761743 -0.19586832 -0.31514857 -0.10351011 -0.32877044 -0.034489688 0.039521313 -0.34112272 -0.20474244 0.10095761 -0.37968449 -0.10338971 -0.098579162 -0.3844163 -0.059024214 -0.18212751 -0.30086902 -0.15280795 -0.37374528 -0.53539329 -0.27792038 -0.45362853 -0.15573916 -0.33844231 -0.026042818 -0.053307854 -0.18973194 -0.35114574 -0.15887759 -0.12355536
"WALKING" 8 0.27468631 -0.0186628865310417 -0.107252090833333 -0.173605736002083 0.380782052708333 -0.1420885318125 0.913586347916667 -0.217102194583333 -0.186267836962021 -0.974752050208333 -0.956781505625 -0.956640104791667 0.0703393490833333 -0.00603947514583333 -0.000673798876875 -0.2586886278125 0.233987544458333 -0.383200596479167 0.0235088228254167 -0.095791790535 0.0509657915395833 -0.1992097184375 -0.2119972775 -0.0754447842395833 -0.135886431360417 -0.0314880905541667 -0.0522683965333333 -0.2460827504375 -0.428055700208333 -0.388446971666667 0.0516786278104167 -0.1804072826 0.0516786278104167 -0.1804072826 -0.0668322430433333 -0.184571053979167 -0.00310243820125 -0.238746703958333 -0.339129269583333 -0.502957255416667 -0.247389011875 0.316982393333333 -0.238634594791667 -0.148386858858333 0.32484493125 -0.158437341970833 -0.311198711041667 0.0796832872416667 -0.361563262083333 -0.271448185291667 0.315883536479167 -0.4044825094375 -0.102063053808333 -0.259729692333333 -0.132902199479167 -0.234252005895833 -0.1908057215 -0.1429742348125 -0.09521728274375 -0.360818978541667 -0.123834409766667 -0.276436130125 -0.301241848645833 -0.327459577895833 -0.473026230833333 -0.581240190833333 0.28250149 -0.0156892135 -0.112007485 -0.176515035 0.37094744 -0.0613632775 0.90867938 -0.206407135 -0.18906256 -0.979130165 -0.968927205 -0.966828355 0.126849245 -0.048550518 -0.004990760545 -0.24498389 0.239545045 -0.436636745 0.00989640605 -0.0974442965 0.0711235955 -0.183421545 -0.2083899 -0.10986761575 -0.170686105 -0.0439158765 -0.048843724 -0.273437345 -0.4287688 -0.397706145 0.013820141 -0.18350168 0.013820141 -0.18350168 -0.0944069445 -0.203064155 -0.00703816505 -0.24204733 -0.334703475 -0.501603645 -0.25408385 0.304143555 -0.205790135 -0.156342955 0.3197157 -0.0842507855 -0.312436175 0.0647479555 -0.38543602 -0.2751305 0.337943025 -0.48554327 -0.084564366 -0.263002985 -0.187030725 -0.23325495 -0.18780248 -0.1674392125 -0.100511805 -0.37128978 -0.129662 -0.288507475 -0.299478955 -0.347680565 -0.469553905 -0.582024465
"WALKING" 9 0.278502842115385 -0.0180891971284423 -0.110820512307692 -0.238353562692308 -0.201696960826923 -0.0579636469030769 0.951867079615385 -0.0314341738730769 -0.115856121080385 -0.980971973653846 -0.971242423076923 -0.955523995576923 0.0704357270480769 0.0212255910017308 0.00414762740192308 -0.206733787961538 -0.276929933846154 -0.409764526153846 -0.0808360598653846 -0.0625598710615385 0.111629779896154 -0.476163506730769 -0.467054167884615 -0.265683521346154 -0.0809204094461538 -0.0356283427038462 -0.0633406620592308 -0.526985309038462 -0.549200228076923 -0.457881494038462 -0.0980840496143461 -0.37942877 -0.0980840496143461 -0.37942877 -0.203733615519231 -0.317113487115385 -0.294542266826923 -0.489725811538462 -0.510253995769231 -0.599866472692308 -0.294711163653846 -0.257677616153846 -0.250806259788462 -0.218019977423077 -0.223972558596154 -0.0337965256573077 -0.314265401346154 -0.367706595 -0.399541245192308 -0.170228340134423 -0.228380473480769 -0.419104362884615 -0.383676120961538 -0.436905860576923 -0.240222512134615 -0.507404512692308 -0.490990336346154 -0.342367223269231 -0.318801022711538 -0.513891953269231 -0.316870715576923 -0.322337536730769 -0.513797480384615 -0.562714528653846 -0.602581618269231 -0.624351923653846 0.281641435 -0.018768633 -0.116608945 -0.212244435 -0.20971359 -0.0535339885 0.95434251 -0.02614838565 -0.1186738865 -0.983295185 -0.97868284 -0.965511195 0.063636582 -0.003848951955 -0.0497309965 -0.18537817 -0.287032305 -0.405298025 -0.0482690725 -0.072430939 0.0901831745 -0.480062735 -0.46402449 -0.265148235 -0.0839141525 -0.0392437465 -0.0716758745 -0.53429645 -0.553116175 -0.45223957 -0.0828644015 -0.36648498 -0.0828644015 -0.36648498 -0.18773597 -0.31929094 -0.29892427 -0.505578545 -0.51300836 -0.607844955 -0.303604485 -0.259637285 -0.250866845 -0.19623787 -0.234641165 -0.026888966 -0.310882195 -0.37941432 -0.393647265 -0.142365875 -0.24907907 -0.41208091 -0.38741148 -0.432363245 -0.24814115 -0.51980538 -0.49962589 -0.336864975 -0.31588856 -0.50315447 -0.32967142 -0.33894854 -0.52309128 -0.5855319 -0.6023909 -0.650115615
"WALKING" 10 0.278574076603774 -0.017022351190566 -0.109057512132075 -0.178709734396226 -0.0227431651698113 -0.395645072075472 0.963092149811321 -0.0838277013962264 0.0549276242264151 -0.974435158113208 -0.971114719811321 -0.957862728301887 0.0857943809283019 0.00408248792641509 -0.0162953195396226 -0.0521991013207547 0.0750804952113207 -0.511662905849057 0.0106894976215094 -0.0819540783760943 0.0986695731160377 -0.414205475283019 -0.250853318679245 -0.174524868603774 -0.122709563462264 -0.0519204981037736 -0.0611262928849057 -0.366063723207547 -0.509683327924528 -0.329079492641509 -0.127400912069811 -0.185602396067925 -0.127400912069811 -0.185602396067925 -0.132624992298283 0.037608338009434 -0.156458730358491 -0.402025135660377 -0.440363636603774 -0.501027916603774 -0.114190001283019 0.0533911909886792 -0.41218272245283 -0.206366497226415 -0.129775706316981 -0.435304215660377 -0.107941107467925 0.0309052018326415 -0.464020508867925 -0.0791518267107547 0.0484867672264151 -0.558512650188679 -0.277913780754717 -0.345209034528302 -0.108530029881132 -0.458292932830189 -0.204392821584906 -0.273292866226415 -0.0930237422792453 -0.370471943962264 0.0205189516981132 0.0502087634986792 -0.412616909622642 -0.499759796981132 -0.515065335849057 -0.517675799056604 0.28955936 -0.01423203 -0.11484764 -0.19767343 -0.032091207 -0.41188386 0.96365321 -0.19590878 0.050120826 -0.97866954 -0.97546553 -0.96785374 0.099037884 0.048051544 -0.036513168 -0.053223188 0.036281833 -0.52323835 -0.015207843 -0.090120566 0.098617843 -0.41728751 -0.26921689 -0.1603204 -0.14375399 -0.058923313 -0.026930176 -0.37564796 -0.51122527 -0.32166769 -0.12976783 -0.18882187 -0.12976783 -0.18882187 -0.13289531 0.041305827 -0.1528897 -0.39333167 -0.44940306 -0.52104644 -0.11539188 0.049592066 -0.41244168 -0.22990227 -0.13720438 -0.44953529 -0.13482699 0.00093788813 -0.46465947 -0.11530403 0.054328401 -0.57339828 -0.28693976 -0.3463876 -0.08781625 -0.45957584 -0.22101906 -0.26159628 -0.088153844 -0.38154057 0.016803491 0.063995901 -0.42263762 -0.49346756 -0.509305 -0.52269748
